MonthOfYear,DayOfWeek,HourOfDay,SupVentSpeed_AirHandling_System,ExhVentSp_AirHandling_System
1,3,0,3,3
1,3,0,3,3
1,3,0,3,3
1,3,0,4,3
1,3,0,4,3
1,3,0,4,3
1,3,0,3,3
1,3,0,4,3
1,3,1,4,3
1,3,1,4,3
1,3,1,3,3
1,3,1,4,3
1,3,1,4,3
1,3,1,4,3
1,3,1,4,3
1,3,2,4,3
1,3,2,4,3
1,3,2,4,3
1,3,2,4,3
1,3,2,4,3
1,3,2,4,3
1,3,2,3,3
1,3,2,4,3
1,3,3,4,3
1,3,3,4,3
1,3,3,4,3
1,3,3,4,3
1,3,3,4,3
1,3,3,3,3
1,3,3,4,3
1,3,4,4,3
1,3,4,3,3
1,3,4,4,3
1,3,4,4,3
1,3,4,3,3
1,3,4,3,3
1,3,4,3,3
1,3,4,3,3
1,3,5,4,3
1,3,5,4,3
1,3,5,4,3
1,3,5,4,3
1,3,5,4,3
1,3,5,4,3
1,3,5,4,3
1,3,6,4,3
1,3,6,4,3
1,3,6,4,3
1,3,6,3,3
1,3,6,3,3
1,3,6,4,3
1,3,6,4,3
1,3,6,3,3
1,3,7,4,3
1,3,7,4,3
1,3,7,4,3
1,3,7,3,3
1,3,7,3,3
1,3,7,4,3
1,3,7,3,3
1,3,8,4,3
1,3,8,3,3
1,3,8,4,3
1,3,8,3,3
1,3,8,4,3
1,3,8,3,3
1,3,8,4,3
1,3,8,4,3
1,3,9,4,3
1,3,9,4,3
1,3,9,3,3
1,3,9,3,3
1,3,9,3,3
1,3,9,4,3
1,3,9,3,3
1,3,10,4,3
1,3,10,4,3
1,3,10,4,3
1,3,10,4,3
1,3,10,3,3
1,3,10,3,3
1,3,10,4,3
1,3,10,3,3
1,3,11,4,3
1,3,11,3,3
1,3,11,3,3
1,3,11,3,3
1,3,11,4,3
1,3,11,3,3
1,3,11,4,3
1,3,12,4,3
1,3,12,4,3
1,3,12,4,3
1,3,12,4,3
1,3,12,4,3
1,3,12,4,3
1,3,12,3,3
1,3,12,4,3
1,3,13,4,3
1,3,13,3,3
1,3,13,4,3
1,3,13,3,3
1,3,13,4,3
1,3,13,4,3
1,3,13,4,3
1,3,14,3,3
1,3,14,4,3
1,3,14,4,3
1,3,14,4,3
1,3,14,4,3
1,3,14,4,3
1,3,14,4,3
1,3,14,3,3
1,3,15,3,3
1,3,15,4,3
1,3,15,4,3
1,3,15,3,3
1,3,15,4,3
1,3,15,4,3
1,3,15,4,3
1,3,16,4,3
1,3,16,4,3
1,3,16,3,3
1,3,16,4,3
1,3,16,4,3
1,3,16,3,3
1,3,16,4,3
1,3,16,4,3
1,3,17,4,3
1,3,17,4,3
1,3,17,4,3
1,3,17,4,3
1,3,17,3,3
1,3,17,4,3
1,3,17,4,3
1,3,18,3,3
1,3,18,3,3
1,3,18,3,3
1,3,18,4,3
1,3,18,3,3
1,3,18,4,3
1,3,18,4,3
