"IAT","SPT"
18.5,21.0
18.5,21.0
18.5,21.0
18.5,21.0
18.5,21.0
18.5,21.0
18.5,21.0
18.5,21.0
18.5,21.0
18.4,21.0
18.4,21.0
18.5,21.0
18.5,21.0
18.5,21.0
18.4,21.0
18.5,21.0
18.4,21.0
18.4,21.0
18.4,21.0
18.4,21.0
18.4,21.0
18.4,21.0
18.4,21.0
18.4,21.0
18.4,21.0
18.4,21.0
18.3,21.0
18.3,21.0
18.3,21.0
18.3,21.0
18.3,21.0
18.3,21.0
18.3,21.0
18.3,21.0
18.3,21.0
18.3,21.0
18.2,21.0
18.2,21.0
18.3,21.0
18.3,21.0
18.2,21.0
18.2,21.0
18.2,21.0
18.2,21.0
18.2,21.0
18.2,21.0
18.2,21.0
18.1,21.0
18.2,21.0
18.2,21.0
18.1,21.0
18.1,21.0
18.2,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.1,21.0
18.3,21.0
18.4,21.0
18.6,21.0
18.8,21.0
18.9,21.0
18.9,21.0
18.9,21.0
18.9,21.0
18.8,21.0
18.7,21.0
18.6,21.0
18.6,21.0
18.6,21.0
18.5,21.0
18.4,21.0
18.4,21.0
18.4,21.0
18.4,21.0
18.3,21.0
18.3,21.0
18.3,21.0
18.3,21.0
18.2,21.0
18.2,21.0
18.3,21.0
18.3,21.0
18.3,21.0
18.3,21.0
18.3,21.0
18.2,21.0
18.2,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
17.9,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.3,21.0
18.5,21.0
18.7,21.0
18.8,21.0
18.9,21.0
19.0,21.0
18.9,21.0
18.8,21.0
18.8,21.0
18.7,21.0
18.6,21.0
18.5,21.0
18.4,21.0
18.4,21.0
18.3,21.0
18.3,21.0
18.3,21.0
18.2,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.0,21.0
17.9,21.0
18.0,21.0
18.0,21.0
17.9,21.0
18.0,21.0
18.1,21.0
18.4,21.0
18.7,21.0
18.9,21.0
19.0,21.0
19.1,21.0
19.1,21.0
19.0,21.0
18.9,21.0
18.9,21.0
18.7,21.0
18.6,21.0
18.6,21.0
18.5,21.0
18.4,21.0
18.3,21.0
18.3,21.0
18.3,21.0
18.2,21.0
18.2,21.0
18.2,21.0
18.1,21.0
18.1,21.0
18.0,21.0
18.0,21.0
18.0,21.0
18.0,21.0
17.9,21.0
18.0,21.0
17.9,21.0
18.1,21.0
18.4,21.0
18.6,21.0
18.8,21.0
19.0,21.0
19.0,21.0
19.0,21.0
19.0,21.0
18.9,21.0
18.8,21.0
18.7,21.0
18.6,21.0
18.6,21.0
18.5,21.0
18.4,21.0
18.4,21.0
18.3,21.0
18.3,21.0
18.3,21.0
18.2,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.1,21.0
18.0,21.0
18.0,21.0
18.0,21.0
17.9,21.0
18.0,21.0
18.0,21.0
18.2,21.0
18.5,21.0
18.8,21.0
18.9,21.0
19.1,21.0
19.1,21.0
19.0,21.0
18.9,21.0
18.8,21.0
18.8,21.0
18.7,21.0
18.6,21.0
18.6,21.0
18.7,21.0
19.0,21.0
19.3,21.0
19.5,21.0
19.7,21.0
19.8,21.0
19.9,21.0
20.0,21.0
20.1,21.0
20.1,21.0
20.0,21.0
20.0,21.0
20.0,21.0
20.0,21.0
20.0,21.0
20.0,21.0
20.0,21.0
20.0,21.0
20.0,21.0
20.0,21.0
20.1,21.0
20.1,21.0
20.1,21.0
20.1,21.0
20.2,21.0
20.2,21.0
20.2,21.0
